control_file,command,command_pattern,value_pattern,solver,is_legacy,source_url,source_page
TCF,AD Control File,AD Control File,[ ⟨ .adcf_file ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfADControlFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Adjust Head at ESTRY Interface,Adjust Head at ESTRY Interface,[ ON | ON Variable | {OFF} ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAdjustHeadatESTRYInterface,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate dV Cell Tolerance,Auto Terminate dV Cell Tolerance,[ {0%} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminatedVCellTolerance,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate dV Value Tolerance,Auto Terminate dV Value Tolerance,[ {0} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminatedVValueTolerance,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate Start Time,Auto Terminate Start Time,[ {Simulation Start Time} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminateStartTime,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,Auto Terminate Wet Cell Tolerance,Auto Terminate Wet Cell Tolerance,[ {0} | ⟨ value ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfAutoTerminateWetCellTolerance,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Control File,BC Control File,[ ⟨ .tbc ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCControlFile,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Database,BC Database,[ ⟨ .csv ⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCDatabase,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Event Name,BC Event Name,[ ⟨ bc_event_name ⟩ ],Classic and HPC,true,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCEventName,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
TCF,BC Event Source,BC Event Source,[ ⟨bc_event_text⟩ | ⟨bc_event_name⟩ ],Classic and HPC,false,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html#tcfBCEventSource,https://docs.tuflow.com/classic-hpc/manual/2023-03/TCFCommands-1.html
